sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
7,12017,ld2,1785,750,7.93117956369458,0.00048769449903,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12019,ld2,1785,750,7.93113045128079,0.000511180171881,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12021,ld2,1785,750,7.93073532857143,0.000570876483512,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12029,ld2,1785,750,7.93083661674877,0.000759103596561,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12030,ld2,1785,750,7.93079200054187,0.000647367586828,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12038,ld2,1785,750,7.9307214446798,0.000397127985607,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12039,ld2,1785,750,7.93070042564103,0.000121016947568,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12040,ld2,1785,750,7.93074978173913,0.00031467682729,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12041,ld2,1785,750,7.93069867833333,0.00041440080783,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12042,ld2,1785,750,7.93068260931034,0.00035399624928,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12043,ld2,1785,750,7.93081512769231,0.000219950810556,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
7,12044,ld2,1785,750,7.93061733943299,0.000347979479284,0,none,none,none,-------[ 2021-10-24 04:30:00 ]
